"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","VALUE","ACRES","REL_PERCENT","annual_dist_acres"
"164","All Fire","11350_25",0.0397266,"Inter-Mountain Basins Semi-Desert Grassland",1369,827,0,32.8538982
"165","All Fire","11390_22",0.0151734,"Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland",901,1,0,0.0151734
"166","All Fire","11390_29",0.028715,"Northern Rocky Mountain Lower Montane-Foothill-Valley Grassland",1267,8312,0,238.67908
"167","All Fire","11400_29",0.0124844,"Northern Rocky Mountain Subalpine-Upper Montane Grassland",1268,5118,0,63.8951592
"168","All Fire","11410_29_30",0.0739452,"Northwestern Great Plains Mixedgrass Prairie",1269,548935,1.5,40591.108362
"169","All Fire","11430_9_19_21_28",0.0018978,"Rocky Mountain Alpine Fell-Field",1173,361030,1,685.162734
"170","All Fire","11440_12_16_19_28",0.0047024,"Rocky Mountain Alpine Turf",1174,170531,0.5,801.9049744
"171","All Fire","11450_22_24_28",0.0308498,"Rocky Mountain Subalpine-Montane Mesic Meadow",1175,48984,0.1,1511.1466032
"172","All Fire","11460_15_16_23_24_25_28",0.1000288,"Southern Rocky Mountain Montane-Subalpine Grassland",1176,875732,2.4,87598.4210816
"173","All Fire","11460_15_16_23_24_25_28",0.1000288,"Southern Rocky Mountain Montane-Subalpine Grassland",1041,4407,0,440.8269216
"174","All Fire","11460_15_16_23_24_25_28",0.1000288,"Southern Rocky Mountain Montane-Subalpine Grassland",1370,1337,0,133.7385056
"175","All Fire","11460_27",0.0435502,"Southern Rocky Mountain Montane-Subalpine Grassland",1495,935,0,40.719437
"176","All Fire","11470_27_33",0.0414688,"Western Great Plains Foothill and Piedmont Grassland",1496,97047,0.3,4024.4226336
"177","All Fire","11470_27_33",0.0414688,"Western Great Plains Foothill and Piedmont Grassland",1416,34208,0.1,1418.5647104
"178","All Fire","11470_28",0.098306,"Western Great Plains Foothill and Piedmont Grassland",387,38252,0.1,3760.401112
"179","All Fire","11480_20_29_30",0.0466178,"Western Great Plains Sand Prairie",1271,22155,0.1,1032.817359
"180","All Fire","11490_25",0.0518808,"Western Great Plains Shortgrass Prairie",1371,9,0,0.4669272
"181","All Fire","11490_27_38",0.0449576,"Western Great Plains Shortgrass Prairie",1497,52609,0.1,2365.1743784
"182","All Fire","11490_28",0.0969476,"Western Great Plains Shortgrass Prairie",386,1040,0,100.825504
"183","All Fire","11490_29",0.047766,"Western Great Plains Shortgrass Prairie",1272,136,0,6.496176
